exchange,product,trade_date,check,reason
DCE,EG,2019-03-04,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'DCE', 'product': 'EG', 'trade_date': '2019-03-04'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
DCE,EG,2019-03-05,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'DCE', 'product': 'EG', 'trade_date': '2019-03-05'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
DCE,EG,2019-03-06,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'DCE', 'product': 'EG', 'trade_date': '2019-03-06'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
DCE,EG,2019-03-07,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'DCE', 'product': 'EG', 'trade_date': '2019-03-07'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
DCE,EG,2019-03-08,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'DCE', 'product': 'EG', 'trade_date': '2019-03-08'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
DCE,EG,2019-03-11,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'DCE', 'product': 'EG', 'trade_date': '2019-03-11'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
DCE,EG,2019-03-12,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'DCE', 'product': 'EG', 'trade_date': '2019-03-12'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
DCE,EG,2019-03-13,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'DCE', 'product': 'EG', 'trade_date': '2019-03-13'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
DCE,EG,2019-03-14,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'DCE', 'product': 'EG', 'trade_date': '2019-03-14'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
DCE,EG,2019-03-15,night_authority_conflict,"session_authority_error: check=night_authority_conflict; reason=observed night interval conflicts with repository authority; row_identity={'exchange': 'DCE', 'product': 'EG', 'trade_date': '2019-03-15'}; context={'day_only_matches': 0, 'observed_night_end': 'none', 'observed_night_start': 'none', 'session_exception_matches': 0}"
